Date,Open,High,Low,Close,Volume
1996-10-01,609.45,609.45,597.29,598.48,0.0
1996-11-01,598.48,602.71,597.54,602.69,0.0
1996-12-01,602.69,604.8,597.46,601.81,0.0
,601.81,601.81,601.81,601.81,0.0
,601.81,601.81,601.81,601.81,0.0
,601.81,603.43,598.47,599.82,0.0
,599.82,608.44,599.05,608.44,0.0
,608.44,609.93,604.7,606.37,0.0
,606.37,608.27,604.12,608.24,0.0
,608.24,612.92,606.76,611.83,0.0
,611.83,611.83,611.83,611.83,0.0
,611.83,611.83,611.83,611.83,0.0
,611.83,613.45,610.95,613.4,0.0
,613.4,613.4,610.65,612.79,0.0
,612.79,619.96,612.79,619.96,0.0
,619.96,620.15,616.62,617.03,0.0
,617.03,621.7,615.26,621.62,0.0
,621.62,621.62,621.62,621.62,0.0
,621.62,621.62,621.62,621.62,0.0
,621.62,624.22,621.42,624.22,0.0
,624.22,630.29,624.22,630.15,0.0
,630.15,636.18,629.48,636.02,0.0
1996-01-02,636.02,638.46,634.54,638.46,0.0
1996-02-02,638.46,639.26,634.29,635.84,0.0
1996-03-02,635.84,635.84,635.84,635.84,0.0
1996-04-02,635.84,635.84,635.84,635.84,0.0
1996-05-02,635.84,641.43,633.71,641.43,0.0
1996-06-02,641.43,646.67,639.68,646.33,0.0
1996-07-02,646.33,649.93,645.59,649.93,0.0
1996-08-02,649.93,656.54,647.93,656.07,0.0
1996-09-02,656.07,661.08,653.64,656.37,0.0
1996-10-02,656.37,656.37,656.37,656.37,0.0
1996-11-02,656.37,656.37,656.37,656.37,0.0
1996-12-02,656.37,662.95,656.34,661.45,0.0
,661.45,664.23,657.92,660.51,0.0
,660.51,661.53,654.36,655.58,0.0
,655.58,656.84,651.15,651.32,0.0
,651.32,651.42,646.99,647.98,0.0
,647.98,647.98,647.98,647.98,0.0
,647.98,647.98,647.98,647.98,0.0
,647.98,647.98,647.98,647.98,0.0
,647.98,647.98,638.79,640.65,0.0
,640.65,648.11,640.65,648.1,0.0
,648.1,659.75,648.1,658.86,0.0
,658.86,663.0,652.25,659.08,0.0
,659.08,659.08,659.08,659.08,0.0
,659.08,659.08,659.08,659.08,0.0
,659.08,659.08,650.16,650.46,0.0
,650.46,650.62,643.87,647.24,0.0
,647.24,654.39,643.99,644.75,0.0
,644.75,646.95,639.01,640.43,0.0
1996-01-03,640.43,640.43,640.43,640.43,0.0
1996-02-03,640.43,640.43,640.43,640.43,0.0
1996-03-03,640.43,640.43,640.43,640.43,0.0
1996-04-03,644.38,653.7,644.38,650.81,0.0
1996-05-03,650.72,655.8,648.77,655.79,0.0
1996-06-03,655.52,656.97,651.61,652.0,0.0
1996-07-03,652.06,653.65,649.54,653.65,0.0
1996-08-03,653.04,653.65,627.63,633.5,0.0
1996-09-03,633.5,633.5,633.5,633.5,0.0
1996-10-03,633.5,633.5,633.5,633.5,0.0
1996-11-03,633.57,640.41,629.95,640.02,0.0
1996-12-03,639.88,640.02,628.82,637.09,0.0
,637.29,640.52,635.19,638.55,0.0
,638.63,644.17,638.55,640.87,0.0
,640.99,642.87,638.35,641.43,0.0
,641.43,641.43,641.43,641.43,0.0
,641.43,641.43,641.43,641.43,0.0
,641.6,652.65,641.43,652.65,0.0
,652.89,656.18,649.8,651.69,0.0
,651.55,653.13,645.57,649.98,0.0
,650.03,651.54,648.1,649.19,0.0
,649.33,652.08,649.19,650.62,0.0
,650.62,650.62,650.62,650.62,0.0
,650.62,650.62,650.62,650.62,0.0
,650.89,655.5,648.82,650.04,0.0
,649.8,654.31,648.15,652.97,0.0
,652.94,653.94,647.6,648.91,0.0
,648.57,649.58,646.36,648.94,0.0
,648.94,650.96,644.89,645.5,0.0
,645.5,645.5,645.5,645.5,0.0
,645.5,645.5,645.5,645.5,0.0
1996-01-04,645.88,653.87,645.5,653.73,0.0
1996-02-04,653.65,655.27,652.81,655.26,0.0
1996-03-04,655.15,655.89,651.81,655.88,0.0
1996-04-04,655.82,656.68,654.89,655.86,0.0
1996-05-04,655.86,655.86,655.86,655.86,0.0
1996-06-04,655.86,655.86,655.86,655.86,0.0
1996-07-04,655.86,655.86,655.86,655.86,0.0
1996-08-04,655.53,655.86,638.04,644.24,0.0
1996-09-04,644.42,646.33,640.84,642.19,0.0
1996-10-04,642.09,642.78,631.76,633.5,0.0
1996-11-04,633.46,635.26,624.14,631.18,0.0
1996-12-04,631.2,637.14,631.18,636.71,0.0
,636.71,636.71,636.71,636.71,0.0
,636.71,636.71,636.71,636.71,0.0
,636.71,642.49,636.71,642.49,0.0
,643.05,645.57,642.15,645.0,0.0
,644.89,645.0,638.71,641.61,0.0
,641.69,644.66,640.76,643.61,0.0
,643.67,647.32,643.61,645.07,0.0
,645.07,645.07,645.07,645.07,0.0
,645.07,645.07,645.07,645.07,0.0
,645.54,650.91,645.07,647.89,0.0
,647.75,651.59,647.7,651.58,0.0
,651.87,653.37,648.25,650.17,0.0
,650.12,654.18,647.06,652.87,0.0
,652.76,656.43,651.96,653.46,0.0
,653.46,653.46,653.46,653.46,0.0
,653.46,653.46,653.46,653.46,0.0
